Income_per_month,Age,Rent_per_month,Loan_Repayment_per_month,Insurance_premium,Healthcare_cost_per_month,Education_cost_per_month,Desired_Savings_per_month,Risk_Tolerance
44637.24963568593,49,13391.174890705775,0.0,2206.490129258186,1546.9145393077706,0.0,6200.537192442157,0.03047286949731798
26858.596591729543,34,5371.719318345909,0.0,869.522616973343,1137.3513250935068,1551.723167073342,1923.1764339045449,0.01780463774881511
50367.60508357677,35,7555.140762536515,4612.103386494076,2201.80004994864,2178.5158473219,3160.0262993703845,7050.360421687626,0.05026397153317609
101455.6002469913,21,15218.340037048692,6809.441426747919,4889.418087072337,4571.118216513439,0.0,16694.965136405768,0.09830620430200064
24875.28354773196,52,4975.056709546392,3112.6093984226027,635.90717006727,1169.0958159721715,1445.2156935520268,1874.0994338344517,0.020370544105322082
24875.61026730744,57,4975.122053461488,0.0,1038.2309962500822,1022.2954389405938,2003.8520351331745,1478.6663590860635,0.01784960957406064
106119.69276166476,53,21223.938552332955,0.0,4360.20271016577,3807.098561946348,0.0,18399.564591550105,0.09458323448752456
55431.34150830326,40,11086.268301660652,8307.702220408508,1755.439820438597,2574.449980700129,5520.436851603138,6636.413892703046,0.058246619640496815
20606.733120766687,32,6182.019936230005,3562.488826158373,1018.5899396507028,830.2370548088703,1939.2265470814748,362.9178724283629,0.017960524513384948
46304.79023459725,30,9260.95804691945,0.0,2130.2548254922986,1649.7575140341282,3085.991146873468,5615.1047449505895,0.03388959235853131
20706.822335826528,31,3106.023350373979,0.0,1031.783366286569,819.0986804970788,0.0,1729.7027630096304,0.012784018430624277
20668.55739001468,31,4133.711478002936,0.0,754.4485693450432,1019.2460907476724,1506.356603004386,1704.193685883013,0.014953991540205587
36407.22336013257,54,10922.16700803977,4583.248323227494,970.78682432521,1153.74809253563,1940.128200247036,2743.079538793525,0.030639806234020687
6492.016465573834,22,973.802469836075,0.0,184.24334081048212,222.6484180489697,590.0480387756074,464.2909173976621,0.0025229177292382895
7547.85272595847,39,1509.570545191694,0.0,330.1888107370584,235.71248571481945,521.9763336745461,412.21404015408274,0.003131474193829156
19132.096281101058,45,3826.419256220212,2525.4053418435365,590.1927009873557,919.4335322334643,1442.9123099860296,1533.959450484261,0.012210306401138005
13342.207217642665,62,2668.441443528533,2540.481210907885,352.8857322670544,531.5572945708017,1043.2011998541102,1086.1303240701657,0.0089153529636274
38574.64702065896,21,7714.929404131792,0.0,1838.336035178566,1196.0442016011566,3475.9767801926027,2666.0859596866626,0.026968032474988423
14509.130214675472,55,4352.739064402642,829.4411881855278,438.5973652291439,656.649936267368,1449.9575419560256,1049.9662330480185,0.009571948008730598
9692.519676095202,46,1938.5039352190408,0.0,217.5854167648588,305.6529262171243,0.0,505.94103763708455,0.0036086510322878972
96903.5735346614,54,19380.71470693228,9481.168344577973,3585.0685534889044,3956.9284765527455,6227.4664151612615,13125.68698983893,0.09015913572571829
25042.549077566902,52,5008.509815513382,2898.038657275169,914.219607945092,1066.0403190499674,1470.4544098387626,1439.4375120999566,0.018851624259813616
31665.25254344452,37,9499.575763033356,0.0,1034.4903520737569,1579.0771235748027,0.0,2164.459421221964,0.02201986890359891
9596.503685321524,52,1919.300737064305,0.0,320.44676968895675,417.07351394113743,540.6901459046625,522.9089707974001,0.004181490148007458
19408.11353403291,52,5822.434060209873,2832.160281310571,516.1169284212968,592.6318283326164,1604.7037409432396,826.2663088605877,0.012382086216976236
32783.83155406074,37,6556.766310812148,0.0,946.624857243464,1175.0535343713389,2225.1238532600782,3073.112962281771,0.022642493408480135
11946.071979814871,19,2389.2143959629743,0.0,413.2962932772456,404.4367491804396,782.1353155267343,670.4537084148577,0.005406821352708801
40518.38397137296,35,6077.757595705944,0.0,1992.0379866844132,1221.9125610733545,0.0,5993.95672349246,0.026540659249005477
18554.01911983324,47,3710.803823966648,1192.2245655336949,916.6385447009844,795.0787047467554,1575.3820881580352,1793.1139070688962,0.01107394954959779
23756.1722713903,59,4751.23445427806,0.0,537.2630761579513,1068.1949349736826,2353.880175595692,1502.4029682667194,0.017325131085184926
18538.17448835576,46,3707.634897671152,3359.642815107103,874.8366654835075,746.6548569003629,1722.130244243265,1734.1727077284286,0.013033624492918897
132028.78001915166,56,19804.317002872747,0.0,4383.83867931481,5860.840404606983,8512.724038508048,24469.691483246374,0.12800252181632257
29677.809209294763,39,8903.342762788428,2892.4354952427425,1002.336183224289,1046.7579150719844,0.0,1527.7029562045263,0.02234636613536175
12871.668277482722,46,2574.3336554965445,0.0,396.1775991320849,556.8798035439977,1265.06340640794,1139.8877672019737,0.006743552497809434
57929.879866986135,63,11585.975973397228,0.0,2686.8937375505566,1886.0065288323417,5289.47646452362,7631.453385398249,0.054702304695990966
11296.833460181926,27,2259.3666920363853,0.0,380.87803983023343,503.30624451931305,804.2786783551464,979.960454481362,0.005546903883567745
35455.84989880044,37,5318.3774848200665,2757.064142035276,715.1543199380623,1666.0326159271358,1978.0313588107456,2043.5605064274523,0.024578982301921428
6255.5012872758,33,1251.10025745516,867.810401757498,300.64527216345823,244.87929574015052,380.3940065446959,401.78568225273006,0.0032913038500103566
10367.216239239837,23,1555.0824358859752,736.9309020043303,510.30478596071447,468.3183371216485,0.0,653.473450608729,0.0043631978284308474
35117.036052937685,34,10535.110815881306,0.0,1157.8870226332317,1563.448786102448,0.0,1886.0963619567212,0.02388807801246367
54161.51742492653,23,16248.45522747796,5389.560329443965,1791.8659114338395,1742.9752138554622,4771.630362363869,5174.202075888032,0.05340773954862732
34408.100166399614,39,6881.620033279924,0.0,706.2374992737747,1117.5158546372409,3379.478908408538,3155.758293009141,0.02454271176910389
27348.96692477707,35,4102.34503871656,0.0,712.5386442612266,1129.6301022319951,0.0,1532.1675305850144,0.01616940833022117
23578.008283443018,49,4715.601656688604,0.0,556.5254455561451,893.5620239588889,1435.0789369240106,2348.482727034023,0.017005586960603676
9192.425129000392,45,1838.4850258000783,1648.0114794466826,403.24112895820974,390.4797661439161,880.1314001100079,542.3239892553247,0.005801666253968766
16866.37533666489,59,3373.275067332978,2840.3412252356,598.1333944865484,584.3486352058123,1000.9284530873834,1627.6396630197935,0.011027780540664042
20752.90765671867,27,3112.9361485078007,0.0,595.2010403138822,778.7897020962148,1985.1263553913443,1708.766020379031,0.014274401116523413
69888.08400227477,58,20966.42520068243,0.0,3336.291258384359,2620.609334995744,6124.98639958852,9335.817698133733,0.060883596254123325
39491.75884551276,39,7898.351769102553,0.0,1555.3264467537372,1322.0009127054925,2299.3221591592937,3015.7438688842167,0.026751881690211116
7321.134171054789,45,1464.2268342109578,674.6892292186402,352.14320488602885,285.37442349159625,0.0,498.7589190964218,0.0033046441419257153
38879.40038115789,32,7775.880076231578,0.0,1074.12948393439,1411.693638102104,2562.3888100670506,2206.5477062783857,0.025876037640306625
22046.00832871537,60,4409.201665743074,2490.265351089499,1013.9875991109147,671.8313943267904,1918.1449397987285,1343.3492628380716,0.01792743754871496
17455.58721109517,46,5236.676163328551,0.0,796.7561425337461,821.5094200190389,1605.9895314000782,1066.1954728802343,0.009505512187395126
48937.227858527775,24,7340.584178779166,6173.577292623243,2295.8376563237844,2284.26750010403,0.0,5504.303685828675,0.03564741759941278
68442.70689898357,51,13688.541379796714,9243.34053481753,3047.2799027741453,2414.47550572775,0.0,9241.34306717163,0.06378804129006856
63194.76572747071,49,12638.953145494144,0.0,2792.234044501188,2341.207378559367,5067.908017503369,8238.998667094573,0.05625966546058463
15330.178905214852,19,3066.0357810429705,0.0,697.064211726481,757.0732334005542,0.0,1406.5772620163505,0.006985258428580547
23425.55407472084,43,7027.666222416251,2226.8804201671514,1098.1584656582609,1032.461326802843,2095.5666608221245,1480.8650423655272,0.0198147958072626
39103.34944138731,62,7820.669888277463,0.0,1279.176476738721,1800.874796484827,3364.6046937751807,2217.686163230638,0.027126852600771093
